question,document
Where can I find the leaderboard link for my current cohort?,05727a95dd
Is there a video or guide that explains how the homework and leaderboard scoring works?,05727a95dd
"I already submitted my project, but my certificate still doesn’t show up — is that normal?",5ee1e7ea9c
Why is my leaderboard score still zero after I turned in the project?,5ee1e7ea9c
Does submitting the project automatically mean I passed the course project?,5ee1e7ea9c
How long does it usually take before the certificate becomes available after project submission?,5ee1e7ea9c
"If the course says grading is done and I still can’t see a certificate in my profile, what should I do?",5ee1e7ea9c
What Python version should I install for this course if I want the safest option?,29e58c5c37
"Can I use Python 3.9 for the older videos, or will something break?",29e58c5c37
"Does the course expect one exact Python version, or is there a recommended default?",29e58c5c37
"If a module needs a different Python version, where do I check that?",29e58c5c37
"Will Python 3.10 or 3.11 work with the main tools used in the course like pandas, dbt, and PySpark?",29e58c5c37
"Do I have to use my laptop for this course, or can I do it in GitHub Codespaces or on a GCP VM instead?",4f1fe161b1
"Which setup is easiest if I already know Docker locally — my own machine, Codespaces, or a Google Cloud VM?",4f1fe161b1
"If my laptop is slow, is GitHub Codespaces a good option for the course environment?",4f1fe161b1
"For the course videos, is the recommended setup a local install, Codespaces, or a persistent VM on Google Cloud?",4f1fe161b1
"Do I need both a Codespaces environment and a GCP VM, or can I just choose one for running the course?",4f1fe161b1
"I'm trying to connect to my GCP VM from VS Code on Windows and I get ""Could not establish connection to MyServerName: Got bad result from install script."" What usually fixes this?",b92da7c113
Do I need to change something in Windows Registry if VS Code remote connection to the VM fails with an install script error?,b92da7c113
Where do I look in regedit to fix the weird connection problem when opening my server in VS Code on Windows?,b92da7c113
Can deleting a saved SSH fingerprint help when VS Code says it can't connect to my GCP machine? Where is that file on Windows?,b92da7c113
What should I do if the remote server connection keeps failing on Windows even after I tried reconnecting in VS Code?,b92da7c113
Why did the course choose GCP instead of AWS or Azure?,a8219681ec
Is BigQuery the reason the lessons are on Google Cloud?,a8219681ec
Can I follow the course with AWS or Azure instead of GCP?,a8219681ec
Will the cloud concepts from the course still make sense if I use another provider?,a8219681ec
"Do I have to use GCP for the project, or can I switch to a different cloud?",a8219681ec
"Why are the .sh setup scripts failing on my Windows machine, and do I need WSL for this course?",8b0214d089
I’m on Windows and Git Bash isn’t running the shell scripts properly — what’s the recommended fix?,8b0214d089
"Can I do the course on Windows without WSL, or will the shell script parts break later?",8b0214d089
Why do the course scripts work in Linux but not for me in Windows terminal/MINGW64?,8b0214d089
What’s the easiest way to avoid getting stuck on the shell script tasks if I’m using Windows?,8b0214d089
What should I try first when I get an error during setup and want to troubleshoot it myself?,a83f047f52
How do I search for an error message properly instead of just pasting the whole stack trace into Google?,a83f047f52
"When I ask for help in Slack, what details should I include so people can actually debug it?",a83f047f52
"Should I send screenshots of the error, or is it better to paste the command and message as text?",a83f047f52
"If I already tried a few fixes and it still fails, what’s the best way to follow up in the same support thread?",a83f047f52
How do I set Git Bash on Windows to use backslash as the escape character?,1ba19ed6a0
What command should I run in Git Bash if I want \ to work as the escape character?,1ba19ed6a0
Do I need to add the backslash escape setting to my .bashrc file in Git Bash?,1ba19ed6a0
Is there a terminal command to make Git Bash treat backslash as the escape character on Windows?,1ba19ed6a0
"For Git Bash on Windows, how can I enable backslash escaping without editing my shell config?",1ba19ed6a0
"Why am I getting ""Makefile:2: *** missing separator. Stop."" in VS Code?",e5dc51eac9
How do I fix a Makefile error caused by spaces instead of tabs?,e5dc51eac9
"In Visual Studio Code, how can I convert indentation from spaces to tabs for a Makefile?",e5dc51eac9
What should I change in my editor when a Makefile complains about a missing separator?,e5dc51eac9
Is there a quick way to switch VS Code to use tabs instead of spaces so my Makefile works?,e5dc51eac9
How can I open an HTML file from WSL2 using my Windows browser instead of a Linux one?,5b54567e89
Do I need to install anything extra to launch a local HTML page from Linux on WSL into a browser on Windows?,5b54567e89
What is the easiest way to open `index.html` from the WSL terminal with the browser installed on the Windows host?,5b54567e89
"Can I choose a specific Windows browser when opening HTML files from WSL, and how do I set that up?",5b54567e89
"Why does `wslview index.html` open my page in Windows, and can I change the default browser it uses?",5b54567e89
How do I add and use secrets in GitHub Codespaces for this course?,994ef10e79
Where can I store account-specific secrets so they show up in my Codespaces?,994ef10e79
Is there a guide for managing secrets in GitHub Codespaces?,994ef10e79
How do I make environment secrets available inside a Codespace?,994ef10e79
What’s the recommended way to keep sensitive values in GitHub Codespaces?,994ef10e79
How do I set up Chrome Remote Desktop on a Debian Linux VM in Compute Engine?,1b03f3dadf
Is there a tutorial for getting Chrome Remote Desktop working on Google Compute Engine?,1b03f3dadf
Can I use Chrome Remote Desktop to access a Linux virtual machine with a GUI?,1b03f3dadf
What’s the easiest way to enable remote desktop access on a Debian instance in Compute Engine?,1b03f3dadf
How do I remotely open applications with a graphical interface on a Linux VM in GCP?,1b03f3dadf
Why does pgAdmin just show a blank or gray screen after I log in when I'm running it in Docker inside GitHub Codespaces?,3d24f7796d
What environment variables do I need to set so pgAdmin works correctly behind the Codespaces reverse proxy?,3d24f7796d
"If setting the proxy variables doesn't fix the blank page in pgAdmin, what cookie or CSRF settings should I change?",3d24f7796d
Do I need to restart the pgAdmin container after changing the proxy or session settings in Docker?,3d24f7796d
"Is there a safer fix for the pgAdmin blank screen issue in Codespaces, or should I go straight to disabling CSRF checks?",3d24f7796d
My VM disk is full during ETL runs — what should I clean up first to get space back?,dcb8885c9b
"How can I tell if some process is still using files I already deleted, so the space doesn't free up?",dcb8885c9b
Is there a simple tool to visually find what's eating disk space on a Linux VM?,dcb8885c9b
"What are the usual space hogs on a data-engineering VM, like Docker, caches, or logs?",dcb8885c9b
"If a pipeline cache keeps growing again and again, what’s the best way to stop the disk from filling up?",dcb8885c9b
How do I make Python run as a startup script on my machine?,a3776dc060
What do I need to change so the startup script uses my user account’s Python?,a3776dc060
"If Python isn’t starting correctly, do I need to redefine an environment variable for my account?",a3776dc060
How can I point the Python environment to my own user profile for startup?,a3776dc060
What’s the fix for running Python at startup with the right user environment?,a3776dc060
"Why am I getting ""ssh: Could not resolve hostname linux"" when I try to connect, and where should I put my SSH config file?",10407876a1
My SSH command says it can’t resolve the host named linux — what setup step am I missing?,10407876a1
I keep seeing a hostname resolution error in SSH; is my .ssh config location wrong?,10407876a1
"How do I fix the SSH ""Could not resolve hostname linux"" problem on Windows?",10407876a1
I’m stuck on an SSH hostname error during setup. What path should my config file be in?,10407876a1
How do I install or upgrade nbconvert so Jupyter can convert notebooks properly?,35d7874a8d
"I'm getting a ""Failed to spawn: nbconvert"" error in my uv setup — what should I do to fix it?",35d7874a8d
What commands can I use to turn a .ipynb notebook into a Python .py script?,35d7874a8d
Do I need to add jupyter and nbconvert to uv before running notebook conversion?,35d7874a8d
What’s the simplest way to run nbconvert from the command line if I don’t want to use uv?,35d7874a8d
What’s the easiest alternative to `nbconvert` if `jupyter nbconvert --to script` keeps failing on my notebook?,c2f39b0ef3
How do I turn a Jupyter notebook into a `.py` file with Jupytext?,c2f39b0ef3
Do I need to install something first before using Jupytext to convert notebooks to Python scripts?,c2f39b0ef3
Why would someone use Jupytext instead of `nbconvert` for exporting a notebook?,c2f39b0ef3
What command should I run to convert `<your_notebook.ipynb>` into a Python script with Jupytext?,c2f39b0ef3
"Do we still need Anaconda for this course, or is there a better setup now?",a1b2c3d4e5
What should I use instead of Anaconda to install Python and manage packages for the Zoomcamp?,a1b2c3d4e5
How do I set up a Python environment for the course without using Anaconda?,a1b2c3d4e5
Is there a recommended tool for creating a virtual environment and installing dependencies in this course?,a1b2c3d4e5
What’s the fastest way to get Python and project packages ready for this course on my machine?,a1b2c3d4e5
"Can I take this course on Linux, macOS, or Windows, or is it only meant for one operating system?",a0e992e6ef
"Has anyone actually finished the latest cohorts using Windows, macOS, and Linux, or are some of them not really supported?",a0e992e6ef
"If I'm on Linux, should I expect the setup to be the easiest compared with the other operating systems?",a0e992e6ef
"For Windows users, do I need to set up WSL2 and work inside a WSL distro right away, or can I just use Git Bash instead?",a0e992e6ef
"Are Git Bash and MINGW64 enough for the later shell scripts in the course, or will I run into problems without WSL?",a0e992e6ef
"Can I do the capstone with AWS, Snowflake, or Azure instead of GCP, or is GCP required for the final project?",19aaf65b2a
"If I follow the course on AWS/Azure/Snowflake, will the recorded lessons still work, or do I need to adapt the steps myself?",19aaf65b2a
Do I need to justify my cloud choice during peer review if I don’t use GCP for the project?,19aaf65b2a
"Is it okay to complete the course locally without any cloud services at all, and if so, are there any parts that still need GCP?",19aaf65b2a
"Besides the final project, which homework or module specifically needs GCP, and can the rest be done without it?",19aaf65b2a
"Do I need to pay for GCP to follow this course, or is there a free trial I can use?",9aa9591efc
"How much credit does GCP give new users, and is it enough for the course work?",9aa9591efc
What should I do to avoid going over the free trial budget on GCP during the modules?,9aa9591efc
Do I need a credit card just to create a GCP free trial account?,9aa9591efc
Will GCP charge my card automatically when I sign up for the trial?,9aa9591efc
"For this course, do I need the GCP Free Trial or can I just use the Sandbox account?",d4c56f568d
What’s the difference between Google Cloud Free Trial and Sandbox for the Data Engineering Zoomcamp?,d4c56f568d
"Is the GCP Sandbox enough to do all the course labs, or does it miss some required services?",d4c56f568d
Why does the course say to use the $300 free trial instead of the free sandbox?,d4c56f568d
"Can I finish the assignments without VMs and GCS access, or do I really need the Free Trial?",d4c56f568d
My country isn’t supported by GCP — is there any workaround so I can still join the course?,e834a2ff3e
"If my card keeps getting rejected by GCP, what should I try next?",e834a2ff3e
Are there any bank cards or virtual cards that usually work for GCP signup?,e834a2ff3e
Can I still finish most of the course without a GCP account?,e834a2ff3e
"Which part of the course actually needs BigQuery, if I can’t get GCP working?",e834a2ff3e
"In GitHub Codespaces for this course, what actually eats up memory or storage, and what can I mostly ignore?",f685b2fddc
"Does Terraform take space in my Codespace, or is it only creating stuff in GCP?",f685b2fddc
"Should I split my work into a separate repo for each module, or is one repo fine for all the notebooks and scripts?",f685b2fddc
"What should I do with CSV, Parquet, or JSON files so they don't fill up my repo or Codespace?",f685b2fddc
Do Docker containers keep using RAM in Codespaces even when I'm not actively using them?,f685b2fddc
Why am I getting a 403 Forbidden error when I try to download the 2021 Yellow Taxi trip data from the TLC site?,6affd2987c
Is there another place I can grab the NYC Yellow Taxi 2021 files if the official download link fails?,6affd2987c
What exact backup file should I use for January 2021 Yellow Taxi data instead of the TLC website link?,6affd2987c
"Do I need to unzip the .gz file after downloading it, and if so what command should I use?",6affd2987c
What should I do if the NYC taxi data download page blocks me with an access error?,6affd2987c
How do I download taxi data when the file ends in .csv.gz instead of just .csv?,d677df9ccb
Why does saving the taxi file as output.csv fail when the source URL gives a .csv.gz file?,d677df9ccb
Can pandas read a compressed taxi dataset like yellow_tripdata_2021-01.csv.gz directly?,d677df9ccb
What's the easiest way to set the filename from the download link for NYC taxi data?,d677df9ccb
"Do I need to unzip the taxi data first, or can read_csv handle the gz file as-is?",d677df9ccb
Where can I find the data dictionary for NYC yellow taxi trip records?,4ee5e16952
Is there a data dictionary link for green taxi trips too?,4ee5e16952
Which PDF should I use for the yellow trip records data fields?,4ee5e16952
"Do green taxi trip records have their own data dictionary, and where is it?",4ee5e16952
Can someone share the official taxi data dictionary docs for both yellow and green trips?,4ee5e16952
How do I unzip a downloaded .csv.gz file for the taxi data so I can open it in Python?,8585d2d7f4
"Can pandas read the gzipped taxi file directly, or do I need to extract it first?",8585d2d7f4
What command should I run in the terminal to turn green_tripdata_2019-09.csv.gz into a normal CSV?,8585d2d7f4
"In ingest_data.py, how do I change the script if I want to download a parquet file instead of a gzipped CSV?",8585d2d7f4
"After downloading a .parquet file, how can I convert it to CSV inside the Python script and keep the rest of the code working?",8585d2d7f4
"How do I fix the ""wget is not recognized as an internal or external command"" error on my machine?",b3030c88e7
"Why do I also get ""No such file or directory: 'output.csv.gz'"" after trying to download the file?",b3030c88e7
"What’s the easiest way to install wget on Ubuntu, macOS, or Windows for this assignment?",b3030c88e7
"If I’m on Windows, do I need Chocolatey, or is there another way to get wget working in PATH?",b3030c88e7
Is there a Python-based alternative if I don’t want to install wget directly?,b3030c88e7
"How do I fix the ""cannot verify certificate"" error when running wget on MacOS?",542abbcb6a
Do I need to put an exclamation mark before wget in Jupyter Notebook or the terminal?,542abbcb6a
What's the easiest way to download a file with wget if the website certificate check keeps failing?,542abbcb6a
"Can I use python -m wget instead of the regular wget command, and how do I run it?",542abbcb6a
Is there a way to skip certificate verification with wget when downloading from a website?,542abbcb6a
Why does curl say it can’t resolve host when I try to save the file as output.csv?,48cae101d6
How should I write the curl command so it downloads the file instead of treating the filename like a URL?,48cae101d6
What’s the correct way to use curl with an output filename in Python?,48cae101d6
Why am I getting curl: (6) Could not resolve host: output.csv in my script?,48cae101d6
How do I fix my curl download command when the target file name is being parsed as a host?,48cae101d6
Why does wget still fail on the CloudFront parquet link even when I use --no-check-certificate?,c1135885e3
"If my school or office network blocks the dataset URL, what can I do to download the parquet file anyway?",c1135885e3
"Is the download problem caused by SSL verification, or could it be a network block to CloudFront?",c1135885e3
What should I try first to get the yellow_tripdata parquet file if the request gets redirected to a blocked page?,c1135885e3
"Do I need a VPN to access the taxi dataset from CloudFront, and what command should I rerun after connecting?",c1135885e3
"Why am I getting ""Cannot connect to Docker daemon at unix:///var/run/docker.sock"" when I try to use Docker?",5e6c4090af
How do I check if the Docker daemon is actually running on my machine?,5e6c4090af
"In WSL, what should I do if Docker keeps failing to connect to the daemon socket?",5e6c4090af
Do I need to update WSL in PowerShell to fix the Docker daemon connection problem?,5e6c4090af
"What’s the quickest way to solve the ""Docker daemon not running"" error in Module 1?",5e6c4090af
Why does Docker on Windows say the client needs elevated privileges and it can’t connect to the daemon pipe?,46dbe4810d
I’m on Windows 10/11 Pro and Docker won’t start with a connect error — do I need to turn on Hyper-V?,46dbe4810d
"I have Windows Home, so what’s the right way to get Docker working if Hyper-V isn’t available?",46dbe4810d
What should I do if WSL throws WslRegisterDistribution failed with error 0x800701bc while setting up Docker?,46dbe4810d
Is there a fix for the docker_engine pipe not found message on Windows when running docker run?,46dbe4810d
"Why does `docker pull dbpage/pgadmin4` fail with a denied access error, and what’s the correct image name?",bceb4aa421
Do I need to run `docker login` before pulling the Docker images used in the Zoomcamp module?,bceb4aa421
"When `docker-compose up` pulls images automatically, does it behave differently from doing `docker pull` by hand?",bceb4aa421
I got a message saying access to the resource is denied while pulling an image — could this just be a typo in the repo name?,bceb4aa421
In what cases would I actually need DockerHub credentials to pull an image instead of using a public one?,bceb4aa421
"Why does Postgres inside Docker keep failing with chown or permission denied on the data folder, especially when I mount a local directory?",0beb2b5df7
What’s the easiest way to avoid the Docker/Postgres data directory permission problem on Mac or Windows?,0beb2b5df7
"If I already created the Postgres folder and now Docker says it’s owned by UID 999, how do I fix or remove it?",0beb2b5df7
"Why do I get the ""directory exists but is not empty"" message when restarting my Postgres container, and do I need to reset the volume?",0beb2b5df7
"My Docker build says it can’t stat or read ny_taxi_postgres_data — is this because the data folder is inside the build context, and how do I stop that?",0beb2b5df7
Docker Desktop on Windows 10/11 is stuck on starting — how do I fix it without reinstalling everything?,3549528659
"My Docker for Windows won’t open properly, should I update to the newest version or do a clean reinstall?",3549528659
What should I do if the Docker upgrade option in the menu doesn’t work on Windows?,3549528659
How do I switch Docker between Windows containers and Linux containers when it hangs at startup?,3549528659
"On Windows 10/11 Pro, what do I need to check for Hyper-V or WSL2 if Docker still won’t start?",3549528659
"Should I be running Docker commands from the Windows file system, or from the Linux side inside WSL?",c7e1100613
"I’m on Windows Home — can I still get Docker working with WSL2, and what do I need to set up first?",c7e1100613
"If Docker keeps getting stuck even after WSL2 or Hyper-V is configured, what’s the next thing I should try?",c7e1100613
Is there a recommended way to fix Docker on Windows before doing a full reinstall?,c7e1100613
"Do I need to reset Docker to factory defaults, or should I just do a clean install when nothing else works?",c7e1100613
"Why do I get ""the input device is not a TTY"" when I run docker on Windows?",ed8dcfbb5a
How can I fix the TTY error when using `docker run -it` in mintty?,ed8dcfbb5a
Do I need to add `winpty` before every Docker command on Windows?,ed8dcfbb5a
What's the easiest way to make `docker` work in Git Bash or mintty without the TTY issue?,ed8dcfbb5a
Is there a permanent alias I can set so Docker runs with `winpty` automatically?,ed8dcfbb5a
"Why does pip fail with a name resolution error when I try to install packages inside a Docker container on Windows, and how can I fix it?",4c8959502e
"I’m getting a pip retry message about failing to connect to pypi in a Python Docker container on Windows — is there a DNS issue, and what command should I use?",4c8959502e
How do I start a Python Docker container on Windows so pip install works without the temporary failure in name resolution error?,4c8959502e
What’s the right way to run docker on Windows if pip inside the container can’t resolve package URLs and keeps retrying?,4c8959502e
"When I run a Python container on Windows, pip install breaks with connection errors; do I need to set a DNS server in the docker run command?",4c8959502e
"Why does my Postgres data folder stay empty after I start the container on Windows, even though Docker says it ran fine?",87e92edf02
How should I write the volume path in Git Bash on Windows so Docker doesn't mess up the mount?,87e92edf02
"I keep getting ""invalid reference format"" or lowercase repository errors when I use `$(pwd)` in the `-v` flag — what am I doing wrong?",87e92edf02
Why did Docker create a weird folder like `ny_taxi_postgres_data;C` instead of using my existing data directory?,87e92edf02
What’s the easiest workaround on Windows if bind mounting a local folder keeps breaking?,87e92edf02
What's the best way to install Docker Desktop on a Mac for this course?,b2eabcd7dc
"Can I just use Homebrew to set up Docker on macOS, or will that cause problems?",b2eabcd7dc
"If I install Docker with brew, which should I do first: Docker Desktop or the CLI tools?",b2eabcd7dc
Where can I download the Mac Docker app without using brew?,b2eabcd7dc
What commands do I run to get docker and docker-compose installed on macOS?,b2eabcd7dc
What's the easiest way to back up a PostgreSQL database that's inside a Docker volume while the container is still running?,30dcc71db8
How do I restore a Docker volume backup tarball back into the PostgreSQL data volume?,30dcc71db8
"Can I use pg_dump from inside the Postgres container to make a SQL backup, and what command should I run?",30dcc71db8
"Once I have a .sql backup file, how do I load it back into the database with psql?",30dcc71db8
"If my postgres data is just a folder mounted from the host in docker-compose, is it okay to back it up with a normal copy command?",30dcc71db8
"Why do I get `ERRO[0000] error waiting for container: context canceled` when starting Docker, and could this be because I installed it with snap?",d87e3d2a14
"How can I check whether my Docker install came from snap, and what should I do if `sudo snap status docker` says `unknown command ""status""`?",d87e3d2a14
I’m seeing `Bind for 0.0.0.0:5432 failed: port is already allocated.` when running Docker compose — what does that mean and how do I fix it?,d87e3d2a14
"If Docker was installed through snap and it seems broken, is the right fix to uninstall it and use the official Ubuntu install instead?",d87e3d2a14
What’s the connection between a port 5432 conflict and Docker containers stopping with a context canceled error?,d87e3d2a14
How can I find the Docker network name from the command line?,79e44b9c07
What command should I run to list Docker networks?,79e44b9c07
Is there a way to see all Docker network names on my machine?,79e44b9c07
Which Docker CLI command shows the available networks?,79e44b9c07
Where do I check the network name in Docker?,79e44b9c07
"Why am I getting ""Conflict. The container name is already in use"" when I try to start my Docker container?",381dfe5145
How do I stop and remove an existing container so I can reuse the same name in Docker?,381dfe5145
Is there a way to restart a Docker container without deleting it and creating a new one?,381dfe5145
"What should I do if Docker says the name ""pg-database"" is already taken by another container?",381dfe5145
"When I see this container name conflict error, should I use docker start instead of docker run?",381dfe5145
"Why does docker compose say it can’t translate host name pgdatabase or pg-database, and how do I fix the hostname not resolving problem?",1700cb2bd4
My ingestion container can’t reach the Postgres service by name — is this usually a Docker network mismatch or a bad service name?,1700cb2bd4
How can I check which Docker network compose actually created so I can use the right --network value?,1700cb2bd4
