question,answer_llm,answer_orig,document
Why does the homework keep changing while I'm trying to work on it?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is only ready when both are true:
- the homework form is open on the course management platform, and
- the homework title does not contain `[DRAFT]`.

Until then, the content can still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does the [DRAFT] tag in a homework title mean?,"The `[DRAFT]` tag means the homework is **not ready yet**. It can still change, so it’s only considered ready when:

- the homework form is open on the course management platform, and
- the title no longer contains `[DRAFT]`.

","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework assignment is actually ready to be done?,"The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

If either of those is not true, it’s not ready yet and the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start homework before the form is open and the title no longer shows [DRAFT]?,"No. It’s only safe to start when **both** are true:

- the homework form is open, and
- the title no longer contains **`[DRAFT]`**

Until then, the homework can still change, so working on it in advance is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Why does the course material for homework sometimes get updated after it has been posted?,"Because the homework may still be in `[DRAFT]` status or the submission form may not be open yet. Until both conditions are met, the material is not considered final, so it can still change. Working on it early is at your own risk, since the final version may differ.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next run of the course scheduled to start?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know if the course will be available again in summer 2027?,Yes — the course will be offered again in **summer 2027**.,Summer 2027.,bd31146b0e
What’s the next time this course is being offered?,Summer 2027.,Summer 2027.,bd31146b0e
When can I sign up for the next course session?,Summer 2027.,Summer 2027.,bd31146b0e
"Is the course coming back in 2027, and if so, when?",Yes — the course is coming back in **summer 2027**.,Summer 2027.,bd31146b0e
Where can I find the course lectures or videos?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo, and each lesson page has the relevant **videos linked at the top**. If there’s any mismatch, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place to start if I want to watch the lessons?,"Yes — the main entry point is the **LLM Zoomcamp GitHub repository**: https://github.com/DataTalksClub/llm-zoomcamp

Open the lesson folders there, and each lesson page has the relevant videos linked at the top. When in doubt, follow the GitHub repo first because it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Do the lesson folders in the repo link to the videos somewhere?,Yes. The lesson folders in the GitHub repo link to the relevant videos at the top of each lesson page.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the course updates?,Use the **GitHub repo first**. It’s the main entry point for the course and is easier to keep updated than the YouTube playlist.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"If I'm confused about where the videos are, what should I check first?","Check the **LLM Zoomcamp GitHub repository first**. It’s the main entry point, and each lesson folder has the videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where do I check the current LLM Zoomcamp syllabus and course structure?,"Check the current syllabus and course structure on the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

For the broader course materials, you can also use the **LLM Zoomcamp docs** and the **GitHub repository**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there one place to see homework and deadlines for the LLM Zoomcamp?,"Yes — the **LLM Zoomcamp course management platform** is the main place to see the **homework, deadlines, and progress tracking**:

https://courses.datatalks.club/llm-zoomcamp-2026/

The GitHub repo also has the homework instructions, but the course platform is the place to track deadlines and submit work.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How can I track my progress in the LLM Zoomcamp?,"Use the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/

It contains the current cohort structure, homework, deadlines, and **progress tracking**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What platform should I use for managing the LLM Zoomcamp course updates?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It’s where you can track course updates, syllabus, deadlines, homework, and progress.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Does the LLM Zoomcamp have a central site for cohort info, homework, and deadlines?","Yes. The LLM Zoomcamp has a central course management platform for cohort info, homework, deadlines, and progress tracking:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do we get live sessions for every module in this course, or is everything just recorded in the repo?","There are **no separate live sessions for every module by default**. The **module materials are pre-recorded and available in the course repo**.

If live sessions happen, they are **announced separately**. If you get stuck, you should ask in **Slack** and follow the course’s question-asking guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If there aren't regular office hours, how are live sessions announced and where should I ask questions when I get stuck?","Live sessions are announced separately when they happen, usually in the announcements channel on Telegram and Slack before they begin.

If you get stuck, ask your question in Slack and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are there any extra support options besides the free course material, like paid office hours or a community with more structure?","Yes. Besides the free course materials, there is an optional paid support option: **AI Shipping Labs**. It includes **regular Zoom office hours** and **additional structure**.  

The free DataTalks.Club course content remains free, and if you get stuck you can also ask questions in **Slack** following the asking-questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
Is there a place to get help in between modules if the pre-recorded lessons aren't enough?,"Yes. If you get stuck between modules, ask your question in Slack and follow the course’s asking questions guidelines. Live sessions aren’t held for every module by default, but optional extra support is available through AI Shipping Labs, which includes regular Zoom office hours.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
