question,document
"Are there any extra support options besides the free course material, like paid office hours or a community with more structure?",d65e05bd7a
Is there a place to get help in between modules if the pre-recorded lessons aren't enough?,d65e05bd7a
What's the best way to reach out for support since I don't see separate live classes for each module?,d65e05bd7a
Can I count my Bluesky posts toward the learning in public credits for this course?,dbf5369006
Does posting on Bluesky qualify for the learning in public requirement?,dbf5369006
"Are Bluesky updates accepted as learning in public credits, or do I need another platform?",dbf5369006
"If I share my progress on Bluesky, will that be considered for course credits?",dbf5369006
Is Bluesky an allowed platform for earning learning in public credits in the course?,dbf5369006
What’s the Telegram channel for LLM Zoomcamp?,054f3fd58f
Where do I join the LLM Zoomcamp Telegram group?,054f3fd58f
Is there a Telegram link for the LLM Zoomcamp course announcements?,054f3fd58f
Which channel should I use for announcements in LLM Zoomcamp?,054f3fd58f
Should I ask technical questions in the Telegram channel or somewhere else?,054f3fd58f
Why is my FAQ dataset record count different from the one shown in the videos?,e2d595f23c
The FAQ data I loaded has a different number of rows than the lecture — is that normal?,e2d595f23c
Why does the FAQ dataset keep changing when I run the code now?,e2d595f23c
"Are the videos using an old snapshot of the FAQ data, or something else?",e2d595f23c
I noticed some questions disappear and new ones appear in the FAQ dataset — why does that happen?,e2d595f23c
Can I still turn in the homework if the deadline already passed but the submission form is still open?,a9353fadfe
"The deadline is over, but the form is still accepting submissions — does that mean I can submit anyway?",a9353fadfe
Am I allowed to submit homework late as long as the quiz/form hasn’t been closed yet?,a9353fadfe
"If the homework submission page is still open after the due date, is it okay to send in answers?",a9353fadfe
When does late submission actually stop: at the deadline or only when the form gets closed?,a9353fadfe
"Can I still turn in homework after the deadline, or are late submissions not allowed at all?",cdc3b285e5
Do you ever give deadline extensions for homework if someone asks?,cdc3b285e5
"If I miss a homework, does that mean I can’t get the course certificate anymore?",cdc3b285e5
"Will missing one homework submission hurt my chances of getting the certificate, or is only the final project required?",cdc3b285e5
"If the homework form is still open but the deadline already passed, can I still submit it?",cdc3b285e5
"Will the name I type for the certificate be public anywhere, or does it stay only on the certificate?",651ba06b34
"Does the certificate name get shared with anyone else, or is it kept private?",651ba06b34
"What name shows up on the leaderboard, and is that different from the certificate name?",651ba06b34
Can I use a nickname for the public profile and still have my real name on the certificate?,651ba06b34
Where do I change the leaderboard display name versus the certificate name in the course profile?,651ba06b34
Why doesn’t this course start with LangChain for RAG apps?,b7cdde6b25
Is there a reason we build the retrieval and prompting pieces by hand instead of using a framework?,b7cdde6b25
What’s the advantage of learning the core LLM app parts before tools like LangChain?,b7cdde6b25
Wouldn’t it be faster to use LangChain right away for this module?,b7cdde6b25
"What do I gain from doing indexing, retrieval, and evaluation myself first?",b7cdde6b25
Why do I get an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
What does it mean if `responses.create` fails with an insufficient credits message?,f5df151c59
How can I fix the error from OpenAI saying I don't have enough credits for `responses.create`?,f5df151c59
Is the `responses.create` command failing because my OpenAI account has no credits left?,f5df151c59
What should I check if OpenAI throws an insufficient credits error when using `responses.create`?,f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
Does this OpenAI error mean I hit a request limit or something wrong with my billing?,152af39a53
How do I fix the insufficient_quota problem when calling the OpenAI API?,152af39a53
Do I need to add money to my OpenAI account before the API will work?,152af39a53
"After I top up my OpenAI account, do I have to make a new API key or change the model name?",152af39a53
How much money do I actually need to spend to use the OpenAI API for this course?,554d0eb78b
"Do I need to pay a lot upfront to start using the OpenAI API, or can I begin with a small amount?",554d0eb78b
"What’s the minimum recharge amount for the OpenAI API, and is the usage expensive at first?",554d0eb78b
"If I use OpenAI API in the course, will it cost me much or just a tiny amount?",554d0eb78b
"Can I start with $5 on the OpenAI API, and roughly how much does it usually cost per use?",554d0eb78b
"Do I need a paid OpenAI API plan to finish the course homework, or can I use free options instead?",85384a18e5
Is it required to subscribe and pay for the OpenAI API for this course?,85384a18e5
What if I don’t want to pay for OpenAI API — are there any alternatives for the assignments?,85384a18e5
Can I complete the llm-zoomcamp homework without buying access to OpenAI’s API?,85384a18e5
Where can I find the list of free or low-cost OpenAI API alternatives for the course?,85384a18e5
Why does the course use uv instead of pip and virtualenv for the setup?,f81dea8f7e
"What makes uv better or faster than the usual Python tools like pip, virtualenv, or poetry?",f81dea8f7e
"Can I follow the lessons with pip and virtualenv, or do I need to use uv?",f81dea8f7e
"Does uv replace tools like pip, pyenv, pipx, and twine all at once?",f81dea8f7e
"What is the main reason uv is recommended in this module, especially for managing dependencies and environments?",f81dea8f7e
"Why does my Jupyter notebook keep saying my OPENAI_API_KEY is missing, even though I already put it in a .env file?",86d99bbf21
"Do I need python-dotenv for the OpenAI key to show up in the notebook, and where should I load it?",86d99bbf21
I added OPENAI_API_KEY to .env but the client still can’t see it — what am I supposed to do before creating the OpenAI client?,86d99bbf21
What’s the right way to make a .env file variable available inside a notebook in this RAG module?,86d99bbf21
"Could this be happening because I named the API key variable wrong in .env, and what exact name should I use?",86d99bbf21
How do I keep my OpenAI or Groq key in a .env file and read it in Python without hardcoding it?,233dabe430
What’s the easiest way to load environment variables from .env in a RAG notebook or script?,233dabe430
"Do I need to install something special to use .env API keys with python, and how do I do it?",233dabe430
How should I set up .gitignore so my API keys from .env don’t get pushed to GitHub?,233dabe430
"Can you show the basic steps to save OPENAI_API_KEY, GROQ_API_KEY, and then access them with os.getenv()?",233dabe430
Can I do the homework with a different model or API than the one suggested in the RAG assignment?,ee43413718
"Do I have to use the recommended provider, or can I switch to OpenAI, Gemini, Groq, Azure OpenAI, local models, or something else?",ee43413718
Is the homework okay if I use a free or local LLM instead of a paid service?,ee43413718
"If I choose another provider, what parts of the code usually need changes because of different response formats or tokenizers?",ee43413718
Where can I find a list of LLM API alternatives for the course homework?,ee43413718
How can I use Gemini in the Module 1 notebook with the OpenAI-compatible API endpoint?,0ae5c221b9
What do I need to put in my .env file before calling Google Gemini from the notebook?,0ae5c221b9
How do I create an OpenAI client for Gemini using Google's base URL?,0ae5c221b9
Can I keep using the course notebook code if I switch from Responses to chat.completions with Gemini?,0ae5c221b9
Where do I set the Gemini model name when calling the LLM helper in Module 1?,0ae5c221b9
How do I get a Pydantic result from Gemini if `responses.parse` is not supported on the OpenAI-compatible endpoint?,341f71f28c
What’s the easiest way to use the OpenAI SDK with Gemini and still get structured output back as an object?,341f71f28c
"Can I call `chat.completions.parse` with Gemini, and what does the code look like?",341f71f28c
How should I define the schema for a list of FAQ items so Gemini returns it in parsed form?,341f71f28c
Why does the course suggest chat-completions parsing instead of the newer Responses API for Gemini?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
What’s the exact command to get Ollama set up on Linux from the terminal?,1d0b969028
"After installing Ollama, how can I run Llama 3 locally and check that the server is working?",1d0b969028
"Do I need to install a Python package to use Ollama in a script, and what does a basic example look like?",1d0b969028
What should I type to verify the local Ollama server is responding on my machine?,1d0b969028
How do I fix a connection refused error when my Ollama RAG prompt isn’t working in the homework notebook?,c6fc2d4d11
My Ollama server seems down and I’m getting refused connection — what should I rerun or restart?,c6fc2d4d11
What’s the quickest way to bring Ollama back up if I stopped the notebook cell and now the RAG code fails?,c6fc2d4d11
I keep seeing a connection refused error with Ollama during the homework — is there a command to restart the server?,c6fc2d4d11
"After restarting the notebook, my Ollama RAG setup stopped responding. How can I start the server again?",c6fc2d4d11
Why does tiktoken give me a lower token count than OpenAI’s API for the same prompt?,bf0403d21b
"In chat completions, what extra tokens does OpenAI add around each message and at the start of the reply?",bf0403d21b
"Could whitespace, newlines, or weird Unicode characters make the token count different from what I see locally?",bf0403d21b
"I counted tokens in my messages and got one number, but the API returned more — what’s causing the gap?",bf0403d21b
Is there some hidden formatting in OpenAI chat requests that makes the reported token total bigger?,bf0403d21b
"How can I make my API key load automatically when I enter the project folder, without exporting it in every new terminal?",8b2f5e9d04
Is there an easier setup than re-typing `export OPENAI_API_KEY=...` all the time for the RAG homework?,8b2f5e9d04
What’s the best way to keep my OpenAI key in a local `.env` file and have it work across different shells?,8b2f5e9d04
"If I already use `direnv`, can I use that for project env vars here, or should I switch to something else?",8b2f5e9d04
"For Python scripts in this module, how do I read the `.env` file so the API key is available automatically?",8b2f5e9d04
What's the best way to pick field weights in minsearch or a similar search engine without just guessing?,87d4ea4e08
"If I want to tune search field weights, how can I test which settings actually work best?",87d4ea4e08
"Do I need a labeled dataset to figure out good weights for retrieval, or can I just try values until it feels right?",87d4ea4e08
What metrics should I look at when comparing different field weight combinations for search?,87d4ea4e08
"For a small RAG project, is trial and error enough for weighting fields, or should I build a proper evaluation set first?",87d4ea4e08
"What kind of cleanup should I do before using documents in a RAG pipeline, and what should I avoid stripping out by mistake?",649c280e6d
"Do I really need to keep things like headings, dates, page numbers, or speaker names when preparing data for RAG?",649c280e6d
"Is JSON the best way to store documents for RAG, or can I use another format if it’s easier?",649c280e6d
How should I chunk my documents so retrieval works better and related context stays together?,649c280e6d
"What metadata is worth keeping when prepping files for RAG, and why does it matter later on?",649c280e6d
"I’m seeing “Failed to hardlink files” in GitHub Codespaces when using uv — is that actually a problem, or can I ignore it?",acf8fa5356
"Why does uv complain about hardlinking in Codespaces, and does the install still go through anyway?",acf8fa5356
How can I stop the uv hardlink warning just for my current terminal session?,acf8fa5356
What’s the quickest way to make uv use copy mode by default every time I open a new shell?,acf8fa5356
Is there a uv setting or env var I should export so Codespaces stops trying to hardlink and just copies files instead?,acf8fa5356
"I’m getting ""dotenv is not recognized"" when I run my code. Which package do I need to install?",0bed1f48da
What do I install to make `load_dotenv()` work in Python?,0bed1f48da
Do I need `python-dotenv` for environment variables in this RAG setup?,0bed1f48da
"How do I fix the ""dotenv"" import/not recognized error in uv?",0bed1f48da
"After installing the dotenv package, what’s the correct import and call in Python?",0bed1f48da
"Can I do the course on my own machine instead of using Codespaces, or is Codespaces required?",aa310de435
"If I want to run everything locally, what tools do I need to install first?",aa310de435
"Is Codespaces mandatory for this module, or just the easiest option for setup?",aa310de435
What should I watch out for if I’m not using the provided environment and set things up locally?,aa310de435
Do I need to keep notes about my local setup so I can reproduce it later?,aa310de435
"If I just leave my code in Codespaces and don’t commit it, is it still saved somewhere or can I lose it?",610ccb23c0
Does Codespaces keep my changes on the VM even if I never push them to GitHub?,610ccb23c0
What happens to uncommitted work in Codespaces if the VM stops or the workspace gets deleted later?,610ccb23c0
"Should I commit my code often in Codespaces, or is saving inside the Linux VM enough?",610ccb23c0
"Is my work safe in Codespaces without commits, or do I need to put it in my GitHub repo to avoid losing it?",610ccb23c0
Why does WSL2 say my model needs more memory than is available even though my Windows machine has enough RAM?,f3dd94f323
How do I give WSL2 more RAM on Windows so an Ollama model can load?,f3dd94f323
Where exactly should I put the .wslconfig file to change WSL2 memory limits?,f3dd94f323
What should I add inside .wslconfig to increase WSL2 memory allocation?,f3dd94f323
"After changing WSL2 memory settings, do I need to restart anything and how can I check if it worked?",f3dd94f323
"My GitHub Codespace keeps hanging on ""Finishing up"" and never connects — what can I try first?",830f3d2018
"If my Codespace won’t open in VS Code desktop, is there another way to get it working?",830f3d2018
"Why did my setup disappear after a rebuild or new Codespace, and is that normal?",830f3d2018
"Do files in /workspaces survive stop/start, or can they still get wiped somehow?",830f3d2018
What should I do to avoid losing work when Codespaces gets flaky or I have to recreate it?,830f3d2018
"Can I swap OpenAI for another LLM provider in the RAG module, or is the course locked to OpenAI only?",c6ff9083c0
"If OpenAI is blocked in my country, what are the easiest alternatives I can use with the course code?",c6ff9083c0
"Do providers like Groq, OpenRouter, DeepSeek, or Gemini work without rewriting everything from scratch?",c6ff9083c0
Can I run the model locally with something like Ollama or vLLM and still follow the course labs?,c6ff9083c0
"If I use my own hosted model or a GPU rental, do I need an OpenAI-style endpoint for the examples to work?",c6ff9083c0
How can I stop getting 429 rate limit errors when my notebook loops over lots of docs?,8e21752415
Is there a good way to make the OpenAI client retry instead of failing right away on transient 429s?,8e21752415
What should I do in a thread pool so I don’t hit the per-minute request cap so fast?,8e21752415
"Do I need to cache embeddings and LLM outputs, or can I just rerun the notebook each time?",8e21752415
Would using a cheaper model like gpt-4o-mini or Groq help me avoid rate limits during the course?,8e21752415
"In agentic RAG, what do you mean by a tool or function, and when would the model use one?",c296ea5a21
"Are tools and functions different things in this course, or can I treat them the same?",c296ea5a21
"Can you give examples of the kinds of tasks a model might call a tool for, like search or calculations?",c296ea5a21
"How is tool use in agentic RAG different from regular RAG, where retrieval seems automatic?",c296ea5a21
Why is the model’s ability to decide on its own when to call a tool such an important part of agentic RAG?,c296ea5a21
"Which free model options support tool calling for development, like on Groq?",0d74a3616f
Does Groq have any no-cost models that can do tool use or function calling?,0d74a3616f
"Besides OpenAI, what other providers support tools or function calls in a similar setup?",0d74a3616f
Can I use models like Deepseek R1 or Llama 4 from Groq for agentic RAG without paying?,0d74a3616f
"If I switch away from OpenAI, do I need to change my code for tool schemas and responses?",0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I try `client.responses.create(...)` with a non-OpenAI model like Mistral or Groq?,9e7b3f0c25
"If I’m not using OpenAI, what should I read from the response instead of `response.output`?",9e7b3f0c25
How do I switch my code from the Responses API to the older chat completions API for providers that don’t support OpenAI’s format?,9e7b3f0c25
Do I need to change the tools definition too when I use `chat.completions` with another provider?,9e7b3f0c25
Is it okay to use `client.chat.completions.create(...)` for the homework if my model provider works better with that than with `responses.create`?,9e7b3f0c25
"Why do I keep getting the Azure OpenAI error that says tools[0].function is missing, even though I set up my weather tool?",b9c7c6bb34
What should the JSON for my get_weather_tool look like in Module 1 Agentic RAG so Azure OpenAI accepts it?,b9c7c6bb34
Is there a specific structure I need for a function tool definition in Azure OpenAI to avoid the 400 missing required parameter error?,b9c7c6bb34
Can someone show the correct way to define the get_weather function tool with the city parameter and required field?,b9c7c6bb34
I fixed my code but Azure still complains about tools[0].function — what exact JSON should I use for the weather tool?,b9c7c6bb34
"Why do I get a 404 when I try to use toyaikit with Groq or another provider that isn’t OpenAI, and what should I switch to instead?",0224d980b3
How can I point toyaikit at Groq but still use the normal OpenAI-compatible chat completions endpoint?,0224d980b3
"Is there a way to use toyaikit with Anthropic models like Claude, and which runner/client should I use?",0224d980b3
"What’s the difference between the Responses endpoint and chat completions in toyaikit, and why does that matter for non-OpenAI APIs?",0224d980b3
"When I run toyaikit programmatically, should I use `runner.loop()` or `runner.run()`, and what do I get back from it?",0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
Is there a GitHub page with the 2026 Module 1 homework instructions?,53f15299b6
Do I need to check both the course platform and the repo for homework details?,53f15299b6
Where are the links for the first module homework materials and tasks?,53f15299b6
What’s the best place to look if I want the homework instructions and extra context?,53f15299b6
Why am I getting an empty list after filtering my query in homework Q3?,83da208a64
Could this be an indexing issue if my filtered query returns nothing?,83da208a64
Do I need to set up the index settings before loading the data?,83da208a64
What should I check first when my homework query keeps returning an empty result?,83da208a64
How do I fix empty search results when applying filters in this assignment?,83da208a64
"Why do I get a 402 from OpenRouter when I call responses.create(), and how do I fix it?",cfb07a27d5
"In module 1 homework, where should I add max_output_tokens so my OpenRouter request doesn’t fail?",cfb07a27d5
How can I set max_output_tokens in the ToyAIKit/OpenAIClient setup for Q6?,cfb07a27d5
What should my .env look like if I want to use OpenRouter instead of the default OpenAI endpoint?,cfb07a27d5
"If I still see this error after lowering max_output_tokens, what else should I check in OpenRouter?",cfb07a27d5
"In the Module 1 homework, when people say to point RAG at the chunk index, does that mean I should use the split docs instead of the original ones?",b4300adeb1
"For the homework RAG setup, should the search index be built on `chunks` or on `documents`?",b4300adeb1
"If I already have the full documents, why would the pipeline need to retrieve only chunks into the prompt?",b4300adeb1
What is the difference between fitting the index on the original records and fitting it on the chunked records in Module 1?,b4300adeb1
Does pointing RAG at the chunk index just mean the model gets less context because it searches the smaller pieces?,b4300adeb1
"For the Module 1 homework, do I have to get the exact same number as one of the choices, or is being close enough?",5e4ca64cb5
"If my numeric result is a little off from the multiple-choice answers, should I just pick the nearest option?",5e4ca64cb5
Why do homework answers sometimes not match the listed options exactly in the LLM Zoomcamp assignments?,5e4ca64cb5
What should I check if my answer is way different from every option in the homework quiz?,5e4ca64cb5
Can different dataset versions or rounding issues cause my homework result to look different from the provided answers?,5e4ca64cb5
Where do I look first when the homework wording is confusing — the course page or the GitHub instructions?,7d3a2e3505
"For Module 1 in the 2026 cohort, which GitHub links should I open to get the homework and cohort materials?",7d3a2e3505
"Why does the homework sometimes feel different from the lesson, even though it seems to be the same topic?",7d3a2e3505
"If I’m still stuck after reading the instructions, what’s the best way to ask for help in Slack?",7d3a2e3505
"When I ask about homework problems, should I paste screenshots or share the code and terminal output as text?",7d3a2e3505
How can I get the token count for the Module 1 homework if I'm using a provider other than OpenAI?,fe8fed31e6
Where should I look in the response to find token usage info like input tokens or prompt tokens?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face models?",fe8fed31e6
What should I do if my model provider doesn't include token usage in the response object?,fe8fed31e6
"For the multiple-choice homework, what’s the rule if my token count isn’t exact and I have to pick an answer?",fe8fed31e6
"Why does the homework checker say my repo URL is returning 500 or another non-200 error, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the submission checker to open it?,bcdb8740ce
"Should I submit the repo link with `.git` at the end, or just the normal GitHub URL?",bcdb8740ce
How can I quickly test whether the homework URL is actually reachable from outside my account?,bcdb8740ce
My homework link looks right but still gets rejected — could it be a typo or a privacy issue?,bcdb8740ce
"What exactly are embeddings in vector search, and why do people say they preserve meaning and context?",69430a79a8
How do embeddings turn text or other non-numerical data into numbers that can be compared mathematically?,69430a79a8
Why should similar inputs produce similar vectors when using an embedding model?,69430a79a8
How does the distance between embedding values help with semantic similarity search?,69430a79a8
"Is the vector space model related to embeddings, and where does dimensionality reduction fit in?",69430a79a8
How can I get rid of the warning about multi-qa-mpnet-base-dot-v1 being made on sentence-transformers v3.0.0 beta?,aa3f597424
Is there a way to suppress the message about this model needing sentence-transformers 3.0.0 or newer?,aa3f597424
What should I install to stop the warning for multi-qa-mpnet-base-dot-v1 in vector search?,aa3f597424
"Do I need to upgrade sentence-transformers to fix the model version warning, and what version should I use?",aa3f597424
How do I update my setup so the sentence-transformers warning no longer shows up?,aa3f597424
Why did the lesson just use dot product for similarity instead of doing any normalization first?,92cd22cada
"In the homework, why do we need to normalize embeddings before using dot product as cosine similarity?",92cd22cada
"Are OpenAI-style embeddings already unit length, so dot product works like cosine similarity right away?",92cd22cada
"With TF-IDF plus SVD, can I skip normalization and still treat dot product as cosine similarity?",92cd22cada
What’s the actual difference between the lesson setup and the homework setup when it comes to cosine similarity?,92cd22cada
"For vector search, is it better to index just the answer text, just the question, or both together?",5c4a8d2e60
"In the course example, why would embedding only the answer still work for matching user queries?",5c4a8d2e60
When does embedding only the question make sense for retrieval?,5c4a8d2e60
What are the tradeoffs of embedding question plus text in one vector instead of separately?,5c4a8d2e60
How should I decide which embedding setup gives the best results on my dataset?,5c4a8d2e60
"What does cosine similarity actually measure between two vectors, especially in text search?",db78580409
How do you calculate cosine similarity for documents using word counts or TF-IDF?,db78580409
"Why does cosine similarity give values from -1 to 1, and what do those numbers mean?",db78580409
"In vector search, why is cosine similarity useful for comparing document content?",db78580409
"What does it mean when two vectors have cosine similarity of 1, 0, or -1?",db78580409
Why does cosine similarity become just a dot product after the embeddings are normalized?,95feb4e75b
How can vector search use matrix multiplication to score all documents against one query?,95feb4e75b
"If cosine similarity ignores vector length, why do we need to normalize everything first?",95feb4e75b
What makes the similarity computation equivalent to multiplying the embedding matrix by the query vector?,95feb4e75b
Why is cosine similarity efficient for nearest-neighbor search in a vector database?,95feb4e75b
"For Module 2, do I make a whole new GitHub repository, or just spin up another Codespace from my current repo?",1e829a8c6f
Why does the course suggest using a separate Codespace for the vector search module instead of keeping everything in the same environment?,1e829a8c6f
"If I finish Module 2 and want to clean up, can I just delete that Codespace without affecting my main repo?",1e829a8c6f
"When I create a new Codespace for Module 2, does it come from my existing GitHub repository or do I need to start over from scratch?",1e829a8c6f
"Since a Codespace might be deleted later, should I commit my Module 2 work to GitHub right away?",1e829a8c6f
Why does download.py stay stuck at 0% forever when it tries to get model.onnx from HuggingFace?,29b69fbe0b
"If the model download from HuggingFace never starts, what’s the easiest way to get model.onnx manually?",29b69fbe0b
Can I just download model.onnx in my browser and put it in the models/Xenova/all-MiniLM-L6-v2 folder instead of waiting for the script?,29b69fbe0b
What should I do when the HuggingFace CDN seems slow or blocked and download.py won’t finish downloading the ONNX file?,29b69fbe0b
Will download.py skip the HuggingFace download step if model.onnx is already saved locally?,29b69fbe0b
"Why do the dot product version and the loop version of vector search not match exactly, even though they’re supposed to do the same thing?",e889793af9
I got slightly different scores from `X.dot(v_query)` and my manual for-loop — is that a bug or just floating point weirdness?,e889793af9
"Why can `np.allclose(scores, scores_loop)` still return `False` for two vector search implementations that look equivalent?",e889793af9
Is it normal for BLAS-backed `dot` results to differ a little from a Python loop when doing vector search?,e889793af9
How should I compare two vector search score arrays if they only differ in the last few decimals?,e889793af9
Why am I getting `IndexError: list index out of range` when I try to access the best chunk in my vector search code?,1a7b27c4df
What usually causes the best-chunk lookup to crash with an out-of-range index in Module 2?,1a7b27c4df
How do I make sure my embeddings and chunks line up so I don’t hit this index error?,1a7b27c4df
"Should I be encoding the whole chunk objects, or only the `content` field, to avoid mismatched lengths?",1a7b27c4df
What’s the right way to build `X` so its number of rows matches `len(chunks)`?,1a7b27c4df
"For Module 2 HW Q2, my cosine similarity comes out as a weird number that isn't in the choices — is that because I'm using the wrong embedding model?",eaa17a9dc6
"In the homework, should I use `sentence-transformers` or the `Embedder` from `embedder.py` to get the Q2 vectors?",eaa17a9dc6
"Could the mismatch in Q2 be from embedding the wrong text field, like the filename or full record instead of `content`?",eaa17a9dc6
"If I already have the Q1 query vector, do I need to compare my document vectors directly against that for the cosine similarity question?",eaa17a9dc6
Why is my Q2 result a little different from the answer options even when I think I'm using the right model — do I just choose the closest one?,eaa17a9dc6
How do I set up Gemini API key for Kestra so both the copilot and the flows can use it?,3860e5fe8b
Do I need to base64-encode OpenAI and Tavily secrets before Kestra can read them?,3860e5fe8b
Why is Kestra not seeing my API keys unless I export them before docker compose up?,3860e5fe8b
"In a Kestra flow, should I use SECRET_GEMINI_API_KEY or just GEMINI_API_KEY in the secret function?",3860e5fe8b
"Which environment variables are needed for the orchestration module if I want Gemini, OpenAI, and web search to work?",3860e5fe8b
"Why does Kestra Copilot keep saying it can only help with creating flows, and what should I check first?",04440cab11
I set up the AI Copilot in Kestra but it still gives a canned refusal — am I missing the normal Gemini key or the secret one?,04440cab11
How do I properly set the Gemini API key for Kestra Copilot before I restart Docker Compose?,04440cab11
"Could this Copilot error in Kestra be happening because the API key is wrong, not exported, or already rate-limited?",04440cab11
"What’s the difference between `GEMINI_API_KEY` and `SECRET_GEMINI_API_KEY` in Kestra, and which one does the Copilot actually read?",04440cab11
Why does Kestra say my Gemini key is invalid even though I already exported SECRET_GEMINI_API_KEY?,c8ca21af33
"Could a base64 encoding issue cause the secret to break in my Kestra flow, and how do I avoid it?",c8ca21af33
Do I need to restart Kestra after setting new env vars for API secrets to work?,c8ca21af33
"When I use a secret in a flow, should I write secret('SECRET_GEMINI_API_KEY') or just secret('GEMINI_API_KEY')?",c8ca21af33
What's the best way to load Gemini credentials for Kestra — export in the shell or use a .env file with docker compose?,c8ca21af33
Why do we need an orchestrator like Kestra instead of just running everything in a notebook?,193612db63
"If I can already test my code in Jupyter, what extra things does orchestration give me for real AI workflows?",193612db63
"What does Kestra handle that a one-off script usually doesn’t, like retries, scheduling, or monitoring?",193612db63
"In this module, is Kestra only for workflow management, or is it also used to teach AI Copilot, RAG, and agents?",193612db63
"Can I switch between OpenAI, Gemini, Anthropic, or other providers in a Kestra flow without rewriting the whole thing?",193612db63
"Do I actually need to use Kestra for the whole LLM Zoomcamp, or is it only for Module 3?",cce328db64
