question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
"Do I have to wait for a start date, or can I jump into the materials anytime?",04919992b3,good,"The agent’s answer captures the main point correctly: you can start whenever you want and do not need to wait for a start date. It also correctly mentions that videos and GitHub resources are available. However, it omits several key details from the ground truth, such as the specific docs/repository links, the course management platform for deadlines, and the typical workflow for videos/notebooks/homework submission. It also adds an extra claim about registration and certificates that is not in the original answer, though it does not directly contradict the main message.",good,"The search query was broadly relevant because it included the idea of starting anytime and self-paced access. However, it was vague and did not include the course name or the most important keywords from the question. Only one search was used, which is reasonable, but the query quality was mediocre and the tool call did not clearly support the extra claims about registration or certificates."
How do I go from the videos and notebooks to actually submitting homework for a week?,04919992b3,good,"The agent’s answer matches the ground truth well. It gives the same weekly workflow: watch videos, work through notebooks, read homework instructions on GitHub, and submit via the course platform before the deadline. It also correctly notes that the course platform is where submission happens. It omits the explicit links and the note that you can start whenever you want, but those are not essential to the core answer. It also slightly adds that homework instructions may include extra context, which is compatible with the original answer.",good,"The single search query is relevant to the question because it includes the key concepts of videos, notebooks, and homework submission workflow. There were no duplicate or unnecessary calls, and one search is reasonable for this simple informational question. However, the query is somewhat broad and not especially targeted, but still acceptable."
"Is the homework basically the same as the lesson work, or does it change a bit?",04919992b3,good,"The agent’s answer matches the key point in the ground truth: homework is similar to the lesson flow but may change a bit, such as using a different dataset or a slightly different task. It omits the extra logistics and workflow details, but it correctly answers the user’s question.",good,"The search query included the relevant concepts from the question (homework, lesson work, same/different, FAQ). One search call was reasonable, and no unnecessary duplicate calls were made. The tool call supports the final answer adequately."
I can’t find myself on the leaderboard — how do I jump straight to my entry?,c2903069a0,good,"The agent’s answer matches the ground truth on the key point: use the “Jump to your record on the leaderboard” link to jump directly to your entry. It also correctly mentions “Edit Course Profile” and distinguishes the display name and official name fields, which aligns with the original answer. Minor details like the example random name “Lucid Elbakyan” and the certificate note are omitted, but the essential information is present.",good,"The search query was relevant and included the main keywords from the question (leaderboard, jump to my entry, find myself). Only one search call was made, which is reasonable for a straightforward FAQ lookup. The tool call supported the final answer."
What name do I show up under by default on the course leaderboard?,c2903069a0,good,"The agent correctly states that the default leaderboard name is a random anonymous display name like “Lucid Elbakyan,” which matches the ground truth. It also correctly mentions that the name can be viewed/changed in Edit Course Profile and that the first field is the display name. This captures the key information from the original answer, though it omits the specific instruction about the 'Jump to your record on the leaderboard' link and the second field/certificate detail, which are extra but not necessary for the asked question.",good,"The tool call used a relevant query containing the key idea of the question (“default name shown on course leaderboard”). One search was sufficient and not duplicated, so the trajectory was reasonable."
Where can I check my display name or nickname for the leaderboard?,c2903069a0,good,"The agent answer matches the ground truth. It correctly says that you can check your display name in ""Edit Course Profile"" and mentions the ""Jump to your record on the leaderboard"" link. It also correctly notes that a random nickname like ""Lucid Elbakyan"" is assigned by default. The ground truth additionally explains the second field for official certificate name, but that is extra detail not necessary for this question.",good,"The single search query was relevant to the question and included key terms like display name, nickname, and leaderboard. Only one tool call was needed, and it supported the final answer. No unnecessary duplication."
"Can I change the name that appears publicly on the leaderboard, and what should I edit?",c2903069a0,good,"The agent’s answer matches the ground truth on the key point: the public leaderboard name is controlled by the first field in Edit Course Profile, and the second field is for the certificate/official name. It correctly states that the first field is the public nickname/display name. Minor differences in phrasing are fine.",good,"The search query was relevant and included important keywords from the question (change name, publicly, leaderboard, what should I edit). Only one search was needed, which is reasonable for this straightforward question. The tool call supported the final answer."
What do I need to fill in so my certificate doesn’t use the random default name?,c2903069a0,good,The agent answer matches the ground truth. It correctly says to use Edit Course Profile and fill in the second field with the official name as on ID/passport so the certificate does not use the random default name. It also correctly distinguishes the first field as the public nickname/display name and the second as the certificate name.,good,"The single search query was relevant to the question and included key concepts like certificate and default name. One search is reasonable here, and there were no unnecessary or duplicate tool calls."
"Can I do this course at my own pace and still earn the certificate, or is it only for the live cohort?",69d122f12e,good,"The agent’s answer matches the ground truth. It correctly says that self-paced participation is allowed but does not earn a certificate, and that certificates are only available for completing the course with a live cohort. It also captures the key reason: peer-reviewing capstone projects during the active course window.",good,"The single search query was relevant to the question and reasonably targeted the core issue of self-paced vs live cohort certificate eligibility. One search was sufficient, and there were no unnecessary duplicate calls."
"If I take the self-paced version, do I get any certificate at the end or not?",69d122f12e,good,The agent's answer matches the ground truth. It correctly says there is no certificate for the self-paced version and that certificates are only available for the live cohort because peer-review of capstones must happen while the course is running.,good,"The search query was relevant and contained key terms from the question ('self-paced', 'certificate'). Only one search call was made, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer."
Why doesn’t the course give certificates for self-paced students?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that self-paced students do not get certificates, and explains the reason: certificates require peer-reviewing 3 capstone projects, which is only possible during the live cohort while the course is running. This captures the key information from the original answer.",good,"The single search query was relevant and included the main concepts from the question: self-paced students and certificates. One search was sufficient, and there were no unnecessary or duplicate tool calls. The tool use supported the final answer."
Do I need to be in the active running cohort to finish the peer reviews and qualify for the certificate?,69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that you need to finish the course with a live/active cohort to qualify for the certificate, and it explains that self-paced mode does not offer certificates because peer reviews must be completed while the course is running. Minor wording differences do not change the meaning.",good,"The single search query was relevant and contained the key concepts from the question: active running cohort, peer reviews, and certificate qualification. One search call was sufficient, and the tool use reasonably supported the final answer."
Is the certificate tied to submitting the project and reviewing 3 capstones while the course is still open?,69d122f12e,bad,The agent answer does not match the ground truth. The correct answer says certificate eligibility is only for a live cohort and explicitly says there are no certificates for self-paced mode. The agent incorrectly answers 'Yes' and omits the self-paced restriction. It also overstates the requirement by implying both submission and peer-review must happen during the live cohort without clearly stating that certificate issuance is tied to finishing the course with a live cohort. The key factual direction is wrong.,good,"The tool call was relevant to the question and used the main keywords about certificates, submitting the project, reviewing 3 capstones, and the course being open. Only one search was made, which is reasonable. However, the final answer did not align with the sourced information, so the trajectory only supports the attempt, not the correctness."
"Do I still qualify for the certificate if I skipped the first homework, or is passing the Capstone enough?",9f689c185f,good,"The agent’s answer matches the ground truth. It correctly states that homework is not mandatory, skipping the first homework does not disqualify the student, and passing the Capstone project is what is needed for the certificate. It also correctly notes that homework points affect leaderboard rank rather than certificate eligibility.",good,"The single search query was relevant and contained the main concepts from the question: certificate requirements, skipped homework, and capstone. Only one search was needed, and it reasonably supported the final answer without unnecessary extra calls."
"Is homework required to get the course certificate, or is it just recommended?",9f689c185f,good,"The agent answer matches the ground truth. It correctly states that homework is not mandatory, that passing the Capstone project is required for the certificate, and that homework is recommended for reinforcing concepts and contributes to leaderboard points.",good,"The search query was relevant to the question and included key terms like homework, certificate, and recommended. Only one search was needed, and it directly supported the final answer, so the tool usage was reasonable."
"If I didn’t do the first assignment, can I still earn the certificate by completing the Capstone project?",9f689c185f,good,"The agent’s answer matches the ground truth on the main point: homework/first assignment is not mandatory, and passing the Capstone project is sufficient to earn the certificate. The extra mention about live course period and peer review is not in the ground truth, but it does not contradict the core answer. Overall, the key information is correct.",good,"The search query was relevant to the question and included key terms like 'certificate' and 'capstone project'. Only one search was needed, and it reasonably supported the final answer without unnecessary duplication."
"Does missing homework affect certificate eligibility, or only the leaderboard ranking?",9f689c185f,good,"The agent’s answer matches the ground truth. It correctly states that homework is not mandatory, does not affect certificate eligibility, and only influences leaderboard ranking. It also includes the key condition that passing the Capstone project is required for the certificate, which aligns with the original answer.",good,"The single search query was relevant and included important keywords from the question such as missing homework, certificate eligibility, and leaderboard ranking. One search was sufficient, and there were no unnecessary duplicate calls."
What do I actually need to finish to get the certificate in this course?,9f689c185f,good,"The agent answer mostly matches the ground truth on the core requirement: passing the Capstone project is necessary, and homework is not mandatory. However, it adds extra requirements not present in the original answer, such as needing to finish with the live cohort, submit while submissions are open, and that self-paced completion does not qualify. These additions may be true in some broader context, but they are not supported by the provided ground truth and could confuse the student. Still, the central answer is correct enough to count as matching the FAQ answer.",good,"The tool call was relevant and used important keywords related to certificate requirements. Only one search was made, which is reasonable for this straightforward question. No unnecessary duplicate calls were made."
Why does the homework keep changing while I'm trying to work on it?,96286b4be4,good,"The agent answer matches the ground truth. It explains that homework can still change before official release, states the two conditions for readiness (form open and title not containing [DRAFT]), and warns that working early is at the student's own risk because the final version may differ. This preserves the key information from the original answer.",good,"The single search query is relevant to the question and reasonably targeted. One tool call is sufficient here, and there are no unnecessary duplicates or poorly refined follow-up searches. The tool use supports the final answer."
What does the [DRAFT] tag in a homework title mean?,96286b4be4,good,"The agent answer matches the ground truth closely. It correctly states that [DRAFT] means the homework is not ready yet, gives the two conditions for readiness, and mentions that content may still change and working in advance is at the student's risk. The only minor omission is that the original says 'the final version can be different,' but the meaning is preserved.",good,"The single search query was relevant and contained the key keyword [DRAFT] along with 'homework title mean.' One search was sufficient, and there were no unnecessary duplicate calls. The tool call reasonably supported the final answer."
How can I tell if a homework assignment is actually ready to be done?,96286b4be4,good,"The agent’s answer matches the ground truth closely. It correctly states the two required conditions: the homework form must be open and the title must not contain [DRAFT]. It also includes the key warning that if [DRAFT] is present, the homework is not ready and may still change, and that working early is at the student’s risk. This preserves the essential meaning of the original answer.",good,"The single search query was directly relevant to the user’s question and used the exact wording of the question, which is appropriate. Only one search call was needed here, and there were no redundant or unnecessary tool calls."
Is it safe to start homework before the form is open and the title no longer shows [DRAFT]?,96286b4be4,good,"The agent’s answer matches the ground truth: it says homework is only ready when the form is open and the title no longer contains [DRAFT], and that working before then is at the user’s own risk because content can still change. This preserves the key information and intent.",good,"The search query was directly relevant and included the main keywords from the question (homework, form open, title, DRAFT). Only one search was used, which is reasonable for this simple lookup, and it supported the final answer."
Why does the course material for homework sometimes get updated after it has been posted?,96286b4be4,good,"The agent’s answer matches the ground truth. It explains that the homework may not be finalized yet, and correctly states the two conditions for readiness: the form being open and the title not containing [DRAFT]. It also includes the warning that content can still change before then, which is the key reason given in the original answer. The wording differs slightly, but the substance is correct.",good,"The single search query was relevant to the question and included key ideas like homework material being updated after posting and FAQ context. One search was reasonable, and there were no unnecessary duplicate calls. The tool call supports the final answer adequately."
When is the next run of the course scheduled to start?,bd31146b0e,good,The agent’s answer exactly matches the ground truth key information: the next run is scheduled for Summer 2027. It is concise and directly answers the question.,good,"The single search query closely matched the question wording and was sufficient to retrieve the needed information. Only one tool call was used, which is reasonable here."
Do you know if the course will be available again in summer 2027?,bd31146b0e,good,"The agent’s answer matches the ground truth: it states that the course will be offered again in summer 2027. This contains the same key information, with no contradiction or missing detail.",good,"The search query was relevant and included the key phrase 'summer 2027' and the idea of course availability. Only one search was used, which is reasonable for this simple FAQ-style question. The tool call supported the final answer."
What’s the next time this course is being offered?,bd31146b0e,good,The agent answer exactly matches the ground truth: it states the course is next being offered in Summer 2027.,good,"The single search query is relevant to the question and the number of tool calls is reasonable. It was a general query, though it did not include specific course details, but it still supported the final answer and there was no unnecessary repetition."
When can I sign up for the next course session?,bd31146b0e,good,"The agent correctly states the next course session is Summer 2027, matching the ground truth. It adds extra information about registration and starting homework, which is not in the original answer, but does not contradict the key fact asked.",good,"The search query is relevant to the question and includes appropriate keywords about signing up and enrollment dates. Only one search call was made, which is reasonable for a straightforward factual lookup."
"Is the course coming back in 2027, and if so, when?",bd31146b0e,good,The agent’s answer matches the ground truth: it confirms the course is coming back and specifies the timing as Summer 2027. This contains the key information requested.,good,"The single search query is relevant to the question and includes the important keyword 2027, along with the idea of the course returning. One search was sufficient and there were no unnecessary duplicate calls."
Where can I find the course lectures or videos?,31456f4b5f,good,"The agent’s answer matches the ground truth closely. It identifies the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders, notes that each lesson page has the relevant videos linked at the top, and recommends using the GitHub repo first because it is more up to date than the YouTube playlist. This contains all key information from the original answer.",good,"The tool call was reasonable and relevant. The search query captured the core intent of the question (finding course lectures/videos), though it was somewhat generic. Only one search was needed, which is appropriate here, and the tool use supported the final answer."
Is there a main place to start if I want to watch the lessons?,31456f4b5f,good,"The agent’s answer matches the ground truth on the key points: the main entry point is the LLM Zoomcamp GitHub repository, lesson folders contain the relevant videos, and the repo should be preferred over the YouTube playlist because it is easier to keep updated. The extra workflow steps are not in the original answer, but they do not conflict with it and do not change the core correctness.",good,"The tool call was reasonable but somewhat generic. The search query captured the intent of the question, though it did not include the specific course name (LLM Zoomcamp) or repository keywords. Only one search was used, which is acceptable for a simple FAQ lookup, and there were no unnecessary duplicate calls."
Do the lesson folders in the repo link to the videos somewhere?,31456f4b5f,good,"The agent’s answer matches the ground truth. It says to use the LLM Zoomcamp GitHub repo as the main entry point and that each lesson page has the relevant videos linked at the top, which is the key information from the original answer. It also includes the repo link, which is consistent with the FAQ. The extra offer to help find a lesson folder is harmless and does not change the substance.",good,"The single search query was relevant to the user’s question and contained the core concept of lesson folders linking to videos. One search is reasonable here, and no unnecessary follow-up calls were made. The tool call plausibly supported the final answer."
Should I use the GitHub repo or the YouTube playlist to follow the course updates?,31456f4b5f,good,"The agent’s answer matches the ground truth: it says to use the GitHub repo as the main source, notes that lesson folders contain linked videos, and explains that the repo is easier to keep updated than the YouTube playlist. This captures the key guidance from the FAQ.",good,"The single search query is relevant to the question and reasonably targeted at comparing GitHub repo and YouTube playlist for course updates. One search call is sufficient here, and there are no unnecessary duplicate calls."
"If I'm confused about where the videos are, what should I check first?",31456f4b5f,good,"The agent’s answer matches the ground truth: it says to check the LLM Zoomcamp GitHub repository first, notes that lesson pages contain the relevant video links at the top, and explains that the repo is easier to keep updated than the YouTube playlist. This preserves the key information even though it is paraphrased.",good,"The search query was somewhat relevant but too generic and did not include the key specific terms from the question like LLM Zoomcamp, GitHub repository, or videos. However, only one search call was made, which is reasonable, and the final answer is supported by the retrieved content."
