question,answer_agent,answer_orig,tool_calls,cost,document
"Do I still qualify for the certificate if I skipped the first homework, or is passing the Capstone enough?","Yes — skipping the first homework does **not** disqualify you from the certificate.

According to the FAQ, **homework is not mandatory**. The key requirement is to **pass the Capstone project** to get the certificate. Homework only affects your **leaderboard rank**, not certificate eligibility.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate requirements skipped first homework passing capstone enough""}'}]",0.0011115,9f689c185f
"Is homework required to get the course certificate, or is it just recommended?","Homework is **not mandatory** for the certificate. According to the FAQ, you need to **pass the Capstone project** to get the certificate, while homework is **recommended** for reinforcing concepts and helps with leaderboard points.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""homework required course certificate recommended""}'}]",0.0010815,9f689c185f
"If I didn’t do the first assignment, can I still earn the certificate by completing the Capstone project?","Yes. According to the course FAQ, homework is **not mandatory** for the certificate. You **can still earn the certificate by passing the Capstone project**.  

The only caveat is that you must submit and complete the capstone during the live course period, since peer review is part of the certification process.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""first assignment certificate capstone project still earn certificate""}'}]",0.0011010,9f689c185f
"Does missing homework affect certificate eligibility, or only the leaderboard ranking?","Missing homework does **not** affect certificate eligibility. You can still get the certificate as long as you **pass the Capstone project**.

Homework is **not mandatory**; it only counts toward your **leaderboard ranking**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""missing homework certificate eligibility leaderboard ranking homework""}'}]",0.00107775,9f689c185f
What do I actually need to finish to get the certificate in this course?,"To get the certificate, you need to **finish the course with the live cohort** and **pass the Capstone project**.

A few key points:
- **Homework is not mandatory** for the certificate, though it’s recommended.
- You must also **submit your project while submissions are still open**.
- **Self-paced completion does not qualify** for a certificate, because the course requires peer-reviewing other capstone projects during the live run.

If you want, I can also summarize the exact certificate path in a 1-line checklist.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{'name': 'search', 'arguments': '{""query"":""certificate requirements complete course finish get certificate what do I need""}'}]",0.00129975,9f689c185f
Why does the homework keep changing while I'm trying to work on it?,"The homework can still change if it’s not officially released yet.

It’s considered ready only when **both** of these are true:

- The homework form is open on the course management platform.
- The homework title **does not** contain **`[DRAFT]`**.

If you work on it before that, the final version may differ, so it’s at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework keep changing while I\'m trying to work on it""}'}]",0.00126675,96286b4be4
What does the [DRAFT] tag in a homework title mean?,"If a homework title contains **`[DRAFT]`**, it means the homework is **not ready yet**.  

The homework is considered ready only when:

- the homework form is open on the course management platform, and
- the title **does not** contain `[DRAFT]`.

Until then, the content may still change, so working on it in advance is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""[DRAFT] tag homework title mean""}'}]",0.00136575,96286b4be4
How can I tell if a homework assignment is actually ready to be done?,"A homework assignment is ready **only when both conditions are true**:

- The homework form is open on the course management platform.
- The homework title does **not** contain **`[DRAFT]`**.

If the title still has `[DRAFT]`, it’s not ready yet, and the content may still change. Working on it early is possible, but it’s at your own risk because the final version can be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""How can I tell if a homework assignment is actually ready to be done?""}'}]",0.00142275,96286b4be4
Is it safe to start homework before the form is open and the title no longer shows [DRAFT]?,"Not yet. The homework is considered ready only when **both** are true:

- The homework form is open on the course platform.
- The title no longer shows **`[DRAFT]`**.

Until then, the content can still change, so working on it beforehand is **at your own risk**.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""safe to start homework before form is open title no longer shows DRAFT""}'}]",0.001161,96286b4be4
Why does the course material for homework sometimes get updated after it has been posted?,"Because the homework may not be finalized yet when it first appears. In the course FAQ, homework is considered ready only when:

- the homework form is open on the course management platform, and
- the homework title does **not** contain **`[DRAFT]`**

Until then, the content can still change, so if you work on it early, the final version may be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{'name': 'search', 'arguments': '{""query"":""homework material updated after posted why course material updated after posted homework FAQ""}'}]",0.00126525,96286b4be4
When is the next run of the course scheduled to start?,The next run of the course is scheduled for **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next run of the course scheduled to start""}'}]",0.00092625,bd31146b0e
Do you know if the course will be available again in summer 2027?,"Yes — according to the FAQ, the course will be offered next in **summer 2027**.",Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""course available again in summer 2027 summer 2027 availability""}'}]",0.0009675,bd31146b0e
What’s the next time this course is being offered?,The course is next being offered in **Summer 2027**.,Summer 2027.,"[{'name': 'search', 'arguments': '{""query"":""next time this course is being offered course schedule next offering""}'}]",0.00099975,bd31146b0e
